
Devices
1500
,,Myon - Voltage,,,,,,,,,,,,,,,,Contrex - Angle,Contrex - Angular Velocity,Contrex - Force,
Frame,Sub Frame,LTibA1,LPer2,LSol3,LGas4,LRec5,LVas6,LHam7,LGlut8,RTibA9,RPer10,RSol11,RGas12,RRec13,RVas14,RHam15,RGlut16,Angle,Angular velocity,Torque
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,deg,deg/s,N
5,6,1.54114e-05,0.000126343,3.25012e-05,7.93457e-05,8.23975e-06,4.73022e-05,0.000329285,4.57764e-05,2.67029e-05,-8.10242e-05,6.40869e-06,-2.24304e-05,0.00023819,7.93457e-06,-5.58472e-05,0.000931854,30.7141,0.100631,14.8734
5,7,1.9989e-05,0.000124817,5.50842e-05,-9.50623e-05,5.18799e-06,4.57764e-06,0.000248718,1.69373e-05,-6.2561e-06,-9.15527e-06,9.61304e-06,4.68445e-05,0.000162659,8.08716e-06,-4.79126e-05,0.00270111,30.7181,0.0985032,14.8645
5,8,2.28882e-06,0.000123901,7.8125e-05,-0.000275726,7.32422e-06,1.60217e-05,9.90295e-05,2.67029e-05,7.62939e-07,-1.95312e-05,9.76562e-06,2.15149e-05,0.000125122,9.15527e-06,-6.75964e-05,0.00327927,30.7218,0.0965152,14.8559
5,9,-1.06812e-06,0.00012146,8.08716e-05,-0.000198975,8.08716e-06,1.17493e-05,1.87683e-05,3.00598e-05,-4.68445e-05,-2.16675e-05,6.56128e-06,7.52258e-05,-0.000103912,6.56128e-06,-2.05994e-05,0.00327682,30.7252,0.0946745,14.8475
5,10,-1.98364e-06,0.000120087,8.91113e-05,-0.000143127,8.69751e-06,-0.000178833,5.87463e-05,-3.78418e-05,2.92969e-05,2.70081e-05,7.62939e-06,0.000223846,-5.59998e-05,8.23975e-06,-6.65283e-05,0.00327118,30.7283,0.0929845,14.8394
5,11,-9.30786e-06,2.38037e-05,8.71277e-05,0.000149231,9.30786e-06,-9.0332e-05,0.000259094,5.95093e-06,9.79614e-05,8.01086e-05,7.17163e-06,0.000292053,-0.000119324,5.0354e-06,-6.66809e-05,0.00327332,30.7311,0.0914454,14.8315
5,12,-5.79834e-06,-4.04358e-05,7.62939e-05,0.000172424,1.00708e-05,-5.61523e-05,0.000404053,-2.97546e-05,5.20325e-05,1.89209e-05,8.23975e-06,0.000177155,-0.000133972,1.05286e-05,-6.53076e-05,0.00327957,30.7335,0.0900587,14.8238
5,13,-9.15527e-07,-0.000126343,-4.8523e-05,0.000105286,7.17163e-06,-3.11279e-05,0.000318298,-9.3689e-05,-5.37109e-05,1.78528e-05,6.2561e-06,0.000108795,-0.000241241,8.08716e-06,-6.63757e-05,0.00327667,30.7356,0.0888278,14.8163
5,14,1.49536e-05,-0.000198212,-0.000213623,1.15967e-05,7.62939e-06,2.83813e-05,0.000189972,-9.21631e-05,-1.297e-05,6.02722e-05,8.08716e-06,6.37817e-05,-0.000334778,4.88281e-06,-6.5155e-05,0.00327316,30.7374,0.0877535,14.8091
6,0,1.00708e-05,-0.000212708,-0.000148163,-3.89099e-05,7.32422e-06,9.01794e-05,0.000274658,3.46375e-05,1.60217e-05,8.39233e-05,1.05286e-05,5.78308e-05,-0.000396271,4.57764e-06,-6.27136e-05,0.00327591,30.7389,0.0868298,14.8019
6,1,3.50952e-06,-0.000181732,-9.6283e-05,9.30786e-06,1.00708e-05,1.38855e-05,0.000287018,-2.82288e-05,8.75854e-05,4.53186e-05,3.20435e-06,9.30786e-05,-0.000404816,6.2561e-06,-5.88989e-05,0.0032811,30.7402,0.0860438,14.7949
6,2,6.71387e-06,-8.94165e-05,-4.95911e-05,0.000137634,9.30786e-06,1.34277e-05,0.000140686,-0.000151978,0.000132599,4.79126e-05,6.56128e-06,0.000114288,-0.000314636,1.05286e-05,-5.90515e-05,0.00327728,30.7412,0.0853787,14.7879
6,3,7.62939e-07,-0.000111237,-1.60217e-05,5.06592e-05,8.69751e-06,-4.88281e-06,0.000174255,-0.000176239,9.75037e-05,5.14221e-05,5.79834e-06,0.000155792,-0.000137482,9.30786e-06,-5.50842e-05,0.00327591,30.742,0.0848179,14.7809
6,4,-3.50952e-06,-0.000157928,5.34058e-06,-5.72205e-05,9.46045e-06,-9.21631e-05,0.000284729,-0.000111542,1.20544e-05,0.000149078,7.01904e-06,9.01794e-05,-0.000158844,4.27246e-06,-5.85937e-05,0.0032695,30.7426,0.0843506,14.7739
6,5,2.13623e-06,-7.62939e-06,1.19019e-05,-1.40381e-05,8.54492e-06,-0.000121765,0.000254669,-4.3335e-05,-8.49915e-05,0.000170135,9.46045e-06,9.42993e-05,-0.00010849,7.47681e-06,-5.58472e-05,0.00327759,30.743,0.0839714,14.7668
6,6,-4.73022e-06,1.28174e-05,5.18799e-06,5.2948e-05,1.06812e-05,-7.32422e-06,0.00024231,5.11169e-05,-0.000120697,0.000228271,7.32422e-06,0.000169983,5.96619e-05,3.96729e-06,-3.09753e-05,0.00328064,30.7431,0.083675,14.7596
